




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Rem Maculae	Triton	0	13	349.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Egyptian fish who wept fertilizing tears.	
Ruach Planitia	Triton	0	28	24	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	French isle of winds.	
Ryugu Planitia	Triton	0	-5	27	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Japanese undersea dragon palace.	
Set Catena	Triton	0	22	33.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Egypian water monster; personification of evil.	
Sipapu Planitia	Triton	0	-4	36	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Pueblo (USA) hole or lake of emergence from underworld.	
Slidr Sulci	Triton	0	23.5	350	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Norse river of daggers and spears.	
Tangaroa	Triton	0	-25	65.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Māori fishing and sea god.	
Tano Sulci	Triton	0	33.5	337	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Yoruba; river named for willful son of god.	
Tuonela Planitia	Triton	0	34	14.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Underground realm across Black River (Finnish).	
Uhlanga Regio	Triton	0	-37	357	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Zulu reed from which humanity sprang.	
Ukupanio Cavus	Triton	0	35	23	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Hawaiian shark god.	
Vimur Sulci	Triton	0	-11	59	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Greatest of Elivagar rivers, a stream of ice.	
Viviane Macula	Triton	0	-31	36.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Amour of Merlin (Welsh).	
Vodyanoy	Triton	0	-17	28.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Slavic water spirit.	
Yasu Sulci	Triton	0	2	347	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Japanese heavenly river; literally, "peace."	
Yenisey Fossa	Triton	0	3	56.2	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Siberian mythical holy river.	
Zin Maculae	Triton	0	-24.5	68	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Niger water spirits.	

